pop,lat,lon,state,region,Dim.1,Dim.2,fullPop,country,pop,,
NOR1,61.184167,7.233467,NOR,EU,-2.658962355,2.474420727,Norway 1,NOR,NOR1,,
NOR8,59.55275,10.441783,NOR,EU,-3.932671101,-0.599607206,Norway 8,NOR,NOR8,,
NOR5,59.435433,10.494067,NOR,EU,-3.621761361,-1.106104911,Norway 5,NOR,NOR5,,
NOR2,59.206117,10.37815,NOR,EU,-3.641778229,-1.193505249,Norway 2,NOR,NOR2,,
LUX1,49.61855,6.1393,LUX,EU,-1.966543151,-1.120892589,Luxembourg,LUX,LUX1,,
TR,48.94619,-122.35244,WA,US,1.215185536,0.690208034,Trapline Rd,US,TR,,
BJ,48.789608,-122.463926,WA,US,0.996456365,-0.429055847,Bakerview James,US,BJ,,
GER4,48.624617,8.640133,GER,EU,-2.651259283,-1.087804441,Germany 4,GER,GER4,,
JC,48.16472222,-123.2997222,WA,US,2.10E-16,9.25E-16,Johnson Creek Rd,US,JC,,
WC,47.241995,-120.696261,WA,US,-0.180790195,0.744374433,Williams Creek,US,WC,,
IL,47.168389,-123.113595,WA,US,4.097923903,1.383975548,Isabella Lake,US,IL,,
HL,45.909633,-122.616945,WA,US,3.89942097,2.669981913,Highland,US,HL,,
AP,45.80877,-121.27622,WA,US,1.482089968,0.775184636,Appleton,US,AP ,,
HR,45.661346,-121.586227,OR,US,3.26047364,1.173399869,Hood River,US,HR,,
FR2,45.493017,5.382683,FR,EU,-1.919899738,-1.184017657,France 2,FR,FR2,,
FR3,45.406583,5.42325,FR,EU,-1.853546479,-1.175495409,France 3,FR,FR3,,
HO,44.224196,-123.511671,OR,US,4.533863395,2.497078423,Horton,US,HO,,
DR,43.655301,-123.333033,OR,US,4.598951896,0.02024807,Drain,US,DR,,
SP2,43.536733,-6.520533,SP,EU,2.141616487,-3.136314649,Spain 2,SP,SP2,,
SP4,43.025217,-5.825167,SP,EU,0.341819622,-1.013803209,Spain 4,SP,SP4,,
SP5,42.938767,-5.270633,SP,EU,-0.03712304,-0.875747905,Spain 5,SP,SP5,,
SE,42.27916,-123.641852,OR,US,5.143905369,0.719982317,Selma,US,SE,,
