num,indID,mat,pop,lat,lon,state,region,pc1,trt,blockNum,blockID,nigrescens,bolted,dryWeight,stemHeight,stemWidth,closedCap,openCap,numSeed,numSeedCap,leafFreshWt,leafTurgWt,leafDryWt,RWC,boltDate,flowerDate,boltJulian,boltExpDays,flowerJulian,flowerExpDays,chlor_1,chlor_2,chlor_3,chlor_4,chlor_5,chlor_6,chlor_7,chlor_8
1,IL-4-3,IL-4,IL,47.168389,-123.113595,WA,US,3.756822763,C,C1,C1-1,0,1,27.16,55.6,3.19,23,10,88,2,0.25,0.24,0.05,105.2631579,5/10/2022,6/7/2022,130,1,158,29,49.8,41.6,43.2,45,38.2,34.3,39.3,39.8
2,NOR2-3-4,NOR2-3,NOR2,59.206117,10.37815,NOR,EU,-3.234658892,C,C1,C1-2,0,0,25.02,NA,NA,NA,NA,NA,NA,0.86,0.91,0.14,93.50649351,NA,NA,NA,NA,NA,NA,43.9,43.3,46.4,49.2,41.3,44.2,47,42.5
3,SP2-9-3,SP2-9,SP2,43.536733,-6.520533,SP,EU,2.178756034,C,C1,C1-3,0,1,25.36,59.2,4.6,9,0,0,0,0.61,0.61,0.13,100,6/3/2022,NA,154,25,NA,NA,38.7,36.7,38.1,39.9,40.8,36.6,35.6,33.4
4,NOR2-5-3,NOR2-5,NOR2,59.206117,10.37815,NOR,EU,-3.234658892,C,C1,C1-4,0,0,21.42,NA,NA,NA,NA,NA,NA,1.13,1.16,0.17,96.96969697,NA,NA,NA,NA,NA,NA,46.7,42.1,49.6,49.9,52.8,48.5,51.2,50.9
5,NOR2-7-2,NOR2-7,NOR2,59.206117,10.37815,NOR,EU,-3.234658892,C,C1,C1-5,0,0,24.11,NA,NA,NA,NA,NA,NA,1.25,1.34,0.21,92.03539823,NA,NA,NA,NA,NA,NA,41.1,41.6,35.8,41.5,40.1,36.5,31.6,37.9
6,IL-2-6,IL-2,IL,47.168389,-123.113595,WA,US,3.756822763,C,C1,C1-6,0,1,26.24,45.8,2.55,27,13,1,2,0.45,0.52,0.07,84.44444444,5/18/2022,6/20/2022,138,9,171,42,41.3,43.1,46,51.1,43.7,45.7,47.5,48.3
7,FR3-13-2,FR3-13,FR3,45.406583,5.42325,FR,EU,-1.632805986,C,C1,C1-7,1,1,29.48,65.8,4.61,22,4,0,2,0.62,0.65,0.11,94.44444444,5/15/2022,6/20/2022,135,6,171,42,41.4,42,45.4,45.1,43.3,42.7,43.1,38.1
8,NOR5-3-3,NOR5-3,NOR5,59.435433,10.494067,NOR,EU,-3.336593887,C,C1,C1-8,0,0,23.05,NA,NA,NA,NA,NA,NA,1.49,1.62,0.29,90.22556391,NA,NA,NA,NA,NA,NA,42.7,48.9,53.5,48.1,49.8,53.7,54.9,44.9
9,FR2-9-2,FR2-9,FR2,45.493017,5.382683,FR,EU,-1.632805986,C,C1,C1-9,0,1,23.58,44.1,4.44,14,3,25,2,1.14,1.28,0.2,87.03703704,5/11/2022,6/6/2022,131,2,157,28,41.6,42.8,49.8,47.8,47,47.2,53,48
10,FR2-1-2,FR2-1,FR2,45.493017,5.382683,FR,EU,-1.632805986,C,C1,C1-10,0,1,22.89,42.4,3.82,12,3,81,2,1.06,1.11,0.24,94.25287356,5/15/2022,6/13/2022,135,6,164,35,42.6,42.2,48.8,47.6,45.1,43.9,40.6,43.2
