pop,fullPop,lat,long,state,country,region
KR,Keizer Rapids,44.991536,-123.051,Oregon,US,PNW
RR,Rogue River,42.429766,-123.179107,Oregon,US,PNW
BL,Bender Landing,44.004182,-124.07149,Oregon,US,PNW
UM,Umpqua,43.322242,-123.054964,Oregon,US,PNW
OE,Oregon Equestrian,45.315821,-122.677707,Oregon,US,PNW
WL,Winlock,46.501054,-122.936935,Washington,US,PNW
WF,Westfir,43.760685,-122.527138,Oregon,US,PNW
HL,Highland,45.909633,-122.616945,Washington,US,PNW
SE,Selma,42.27916,-123.641852,Oregon,US,PNW
HR,Hood River,45.661346,-121.586227,Oregon,US,PNW
IL,Isabella Lake,47.168389,-123.113595,Washington,US,PNW
WE,West Lyre,43.19861111,-123.8413889,Oregon,US,PNW
DR,Drain,43.655301,-123.333033,Oregon,US,PNW
CG,Cottage Grove,43.677565,-123.073732,Oregon,US,PNW
CD,Cloverdale,43.933375,-122.963697,Oregon,US,PNW
EU,Eugene,44.106117,-123.238793,Oregon,US,PNW
HO,Horton,44.224196,-123.511671,Oregon,US,PNW
JC,Johnson Creek Rd,48.16472222,-123.2997222,Washington,US,PNW
IC,Indian Creek,48.23527778,-123.5772222,Washington,US,PNW
TR,Trapline Rd,48.94619,-122.35244,Washington,US,PNW
WC,Williams Creek,47.241995,-120.696261,Washington,US,PNW
AP ,Appleton,45.80877,-121.27622,Washington,US,PNW
BJ,Bakerview James,48.789608,-122.463926,Washington,US,PNW
FR1,France1,45.771267,5.190267,France,FR,EU
FR2,France2,45.493017,5.382683,France,FR,EU
FR3,France3,45.406583,5.42325,France,FR,EU
FR4,France4,45.58315,6.136583,France,FR,EU
FR5,France5,45.8904,6.7987,France,FR,EU
FR6,France6,45.923056,6.869722,France,FR,EU
FR6B,France6B,45.9242,6.87825,France,FR,EU
GER1B,Germany1B,48.571533,8.961183,Germany,GER,EU
GER2A,Germany2A,48.45415,8.413517,Germany,GER,EU
GER2B,Germany2B,48.45255,8.409367,Germany,GER,EU
GER3,Germany3,48.623283,8.6401,Germany,GER,EU
GER4,Germany4,48.624617,8.640133,Germany,GER,EU
GER5,Germany5,48.717633,8.424333,Germany,GER,EU
GER6,Germany6,48.7259,8.542067,Germany,GER,EU
GER7,Germany7,50.2345,7.4944,Germany,GER,EU
GER8,Germany8,50.033967,7.103017,Germany,GER,EU
LUX1,Luxembourg1,49.61855,6.1393,Luxembourg,LUX,EU
NOR1,Norway1,61.184167,7.233467,Norway,NOR,EU
NOR2,Norway2,59.206117,10.37815,Norway,NOR,EU
NOR3,Norway3,59.20055,10.3779,Norway,NOR,EU
NOR4,Norway4,59.4305,10.458133,Norway,NOR,EU
NOR5,Norway5,59.435433,10.494067,Norway,NOR,EU
NOR6,Norway6,59.42845,10.64315,Norway,NOR,EU
NOR7,Norway7,59.1219,10.57,Norway,NOR,EU
NOR8,Norway8,59.55275,10.441783,Norway,NOR,EU
NOR9,Norway9,59.55275,10.441783,Norway,NOR,EU
SP1,Spain1,43.535813,-6.06979,Spain,SP,EU
SP2,Spain2,43.536733,-6.520533,Spain,SP,EU
SP3,Spain3,43.51665,-6.723967,Spain,SP,EU
SP4,Spain4,43.025217,-5.825167,Spain,SP,EU
SP5,Spain5,42.938767,-5.270633,Spain,SP,EU
SP6,Spain6,43.11975,-5.017083,Spain,SP,EU
SW1,Switzerland,46.08005,7.032767,Switzerland,SW,EU
