Date,day,sample,trt
5/10/2022,1,10.6,T
5/10/2022,1,9.7,T
5/10/2022,1,9.4,T
5/10/2022,1,9.2,T
5/10/2022,1,12.1,T
5/10/2022,1,12.8,T
5/10/2022,1,13.4,T
5/10/2022,1,8.1,T
5/10/2022,1,12.6,T
5/10/2022,1,12,T
5/10/2022,1,11.7,C
5/10/2022,1,11.3,C
5/10/2022,1,10.4,C
5/10/2022,1,11.3,C
5/10/2022,1,12.6,C
5/10/2022,1,11.8,C
5/10/2022,1,12.1,C
5/10/2022,1,10.6,C
5/10/2022,1,12.3,C
5/10/2022,1,12.1,C
5/11/2022,2,3.7,T
5/11/2022,2,6.1,T
5/11/2022,2,8.1,T
5/11/2022,2,4.4,T
5/11/2022,2,8.5,T
5/11/2022,2,5.9,T
5/11/2022,2,14.3,T
5/11/2022,2,7.7,T
5/11/2022,2,8.2,T
5/11/2022,2,10.6,T
5/11/2022,2,12.8,C
5/11/2022,2,12.8,C
5/11/2022,2,11.7,C
5/11/2022,2,10.8,C
5/11/2022,2,7.7,C
5/11/2022,2,5.7,C
5/11/2022,2,9.5,C
5/11/2022,2,8.8,C
5/11/2022,2,13.9,C
5/11/2022,2,9.1,C
5/12/2022,3,4,T
5/12/2022,3,9.7,T
5/12/2022,3,3.1,T
5/12/2022,3,11.3,T
5/12/2022,3,6,T
5/12/2022,3,4.2,T
5/12/2022,3,5.9,T
5/12/2022,3,3.7,T
5/12/2022,3,4.9,T
5/12/2022,3,8.5,T
5/12/2022,3,10.3,C
5/12/2022,3,8.1,C
5/12/2022,3,4.5,C
5/12/2022,3,6.4,C
5/12/2022,3,7.7,C
5/12/2022,3,6.2,C
5/12/2022,3,6.9,C
5/12/2022,3,10.6,C
5/12/2022,3,7.2,C
5/12/2022,3,9.3,C
5/13/2022,4,3.9,T
5/13/2022,4,6.5,T
5/13/2022,4,7.2,T
5/13/2022,4,6.1,T
5/13/2022,4,5.2,T
5/13/2022,4,3.1,T
5/13/2022,4,1.7,T
5/13/2022,4,3.1,T
5/13/2022,4,4,T
5/13/2022,4,8.9,T
5/13/2022,4,21,C
5/13/2022,4,11.4,C
5/13/2022,4,14.8,C
5/13/2022,4,10.9,C
5/13/2022,4,21.8,C
5/13/2022,4,12.6,C
5/13/2022,4,17.1,C
5/13/2022,4,17.8,C
5/13/2022,4,16.8,C
5/13/2022,4,23,C
5/14/2022,5,1.5,T
5/14/2022,5,2.5,T
5/14/2022,5,2.2,T
5/14/2022,5,5,T
5/14/2022,5,3.5,T
5/14/2022,5,1.8,T
5/14/2022,5,0.9,T
5/14/2022,5,2.1,T
5/14/2022,5,2.5,T
5/14/2022,5,3.8,T
5/14/2022,5,12.5,C
5/14/2022,5,13.1,C
5/14/2022,5,17,C
5/14/2022,5,12.5,C
5/14/2022,5,12.9,C
5/14/2022,5,11.4,C
5/14/2022,5,13.8,C
5/14/2022,5,10.9,C
5/14/2022,5,15.1,C
5/14/2022,5,14,C
5/15/2022,6,2.2,T
5/15/2022,6,0,T
5/15/2022,6,0.4,T
5/15/2022,6,1.3,T
5/15/2022,6,2.7,T
5/15/2022,6,1.3,T
5/15/2022,6,1.3,T
5/15/2022,6,1,T
5/15/2022,6,1.5,T
5/15/2022,6,2.7,T
5/15/2022,6,8.2,C
5/15/2022,6,8.1,C
5/15/2022,6,7.4,C
5/15/2022,6,10.9,C
5/15/2022,6,15.8,C
5/15/2022,6,7.4,C
5/15/2022,6,8.9,C
5/15/2022,6,8.7,C
5/15/2022,6,7,C
5/15/2022,6,11.3,C
5/16/2022,7,2.2,T
5/16/2022,7,1.7,T
5/16/2022,7,0,T
5/16/2022,7,1.5,T
5/16/2022,7,0.1,T
5/16/2022,7,0.5,T
5/16/2022,7,0,T
5/16/2022,7,0,T
5/16/2022,7,2.4,T
5/16/2022,7,0.8,T
5/16/2022,7,11.5,C
5/16/2022,7,17.1,C
5/16/2022,7,18.3,C
5/16/2022,7,17.2,C
5/16/2022,7,15.8,C
5/16/2022,7,19,C
5/16/2022,7,17.1,C
5/16/2022,7,17.1,C
5/16/2022,7,16.9,C
5/16/2022,7,17.5,C
5/17/2022,8,1.6,T
5/17/2022,8,3.3,T
5/17/2022,8,0,T
5/17/2022,8,0,T
5/17/2022,8,1.1,T
5/17/2022,8,0,T
5/17/2022,8,0.8,T
5/17/2022,8,0,T
5/17/2022,8,0,T
5/17/2022,8,0,T
5/17/2022,8,15.3,C
5/17/2022,8,15.5,C
5/17/2022,8,14.9,C
5/17/2022,8,11.4,C
5/17/2022,8,16.3,C
5/17/2022,8,16.5,C
5/17/2022,8,14.4,C
5/17/2022,8,14.4,C
5/17/2022,8,19.4,C
5/17/2022,8,15,C
5/18/2022,9,12.8,T
5/18/2022,9,15.8,T
5/18/2022,9,17.7,T
5/18/2022,9,13.1,T
5/18/2022,9,19.7,T
5/18/2022,9,15.3,T
5/18/2022,9,17.1,T
5/18/2022,9,13.7,T
5/18/2022,9,16.5,T
5/18/2022,9,15.3,T
5/18/2022,9,10.5,C
5/18/2022,9,12.6,C
5/18/2022,9,15.9,C
5/18/2022,9,8.2,C
5/18/2022,9,6.2,C
5/18/2022,9,10.8,C
5/18/2022,9,15.9,C
5/18/2022,9,9.7,C
5/18/2022,9,12.7,C
5/18/2022,9,13.4,C
5/19/2022,9,10.1,T
5/19/2022,10,16.3,T
5/19/2022,10,12.4,T
5/19/2022,10,9.1,T
5/19/2022,10,8.7,T
5/19/2022,10,9.3,T
5/19/2022,10,10.9,T
5/19/2022,10,15,T
5/19/2022,10,11.7,T
5/19/2022,10,14.4,T
5/19/2022,10,10,C
5/19/2022,10,12.3,C
5/19/2022,10,8.2,C
5/19/2022,10,10.9,C
5/19/2022,10,9.8,C
5/19/2022,10,16.1,C
5/19/2022,10,10.3,C
5/19/2022,10,10.1,C
5/19/2022,10,10.5,C
5/19/2022,10,15.3,C
5/20/2022,11,9.1,T
5/20/2022,11,11.7,T
5/20/2022,11,6.1,T
5/20/2022,11,7.5,T
5/20/2022,11,6,T
5/20/2022,11,11.7,T
5/20/2022,11,9.3,T
5/20/2022,11,4.2,T
5/20/2022,11,6.8,T
5/20/2022,11,6.9,T
5/20/2022,11,2.5,C
5/20/2022,11,4.4,C
5/20/2022,11,2.9,C
5/20/2022,11,12.8,C
5/20/2022,11,7.4,C
5/20/2022,11,8.4,C
5/20/2022,11,3.6,C
5/20/2022,11,8.4,C
5/20/2022,11,4.3,C
5/20/2022,11,4,C
5/21/2022,12,8.9,T
5/21/2022,12,3.9,T
5/21/2022,12,6.2,T
5/21/2022,12,4.8,T
5/21/2022,12,5.7,T
5/21/2022,12,2.5,T
5/21/2022,12,5,T
5/21/2022,12,3.9,T
5/21/2022,12,3.5,T
5/21/2022,12,2.2,T
5/21/2022,12,14.8,C
5/21/2022,12,16.1,C
5/21/2022,12,8.2,C
5/21/2022,12,16.9,C
5/21/2022,12,11.8,C
5/21/2022,12,13.6,C
5/21/2022,12,18,C
5/21/2022,12,18.7,C
5/21/2022,12,12.9,C
5/21/2022,12,12.3,C
5/22/2022,13,3.5,T
5/22/2022,13,4.8,T
5/22/2022,13,4.9,T
5/22/2022,13,5,T
5/22/2022,13,5.1,T
5/22/2022,13,6.1,T
5/22/2022,13,2.6,T
5/22/2022,13,2.5,T
5/22/2022,13,3.5,T
5/22/2022,13,5.1,T
5/22/2022,13,11.1,C
5/22/2022,13,11.8,C
5/22/2022,13,8.1,C
5/22/2022,13,10.5,C
5/22/2022,13,7.6,C
5/22/2022,13,13.7,C
5/22/2022,13,12,C
5/22/2022,13,9.2,C
5/22/2022,13,9.8,C
5/22/2022,13,7.5,C
5/23/2022,14,1.5,T
5/23/2022,14,3.8,T
5/23/2022,14,1,T
5/23/2022,14,3.7,T
5/23/2022,14,2.8,T
5/23/2022,14,3,T
5/23/2022,14,2.3,T
5/23/2022,14,0,T
5/23/2022,14,0.6,T
5/23/2022,14,1.2,T
5/23/2022,14,4.4,C
5/23/2022,14,9.1,C
5/23/2022,14,10.4,C
5/23/2022,14,11.7,C
5/23/2022,14,11.4,C
5/23/2022,14,8,C
5/23/2022,14,12.6,C
5/23/2022,14,13.9,C
5/23/2022,14,11.4,C
5/23/2022,14,4.2,C
5/24/2022,15,0,T
5/24/2022,15,0.5,T
5/24/2022,15,2.6,T
5/24/2022,15,0,T
5/24/2022,15,1.4,T
5/24/2022,15,0.2,T
5/24/2022,15,0.2,T
5/24/2022,15,0,T
5/24/2022,15,1.6,T
5/24/2022,15,0,T
5/24/2022,15,14.8,C
5/24/2022,15,13.1,C
5/24/2022,15,14.1,C
5/24/2022,15,14.1,C
5/24/2022,15,17.8,C
5/24/2022,15,13.4,C
5/24/2022,15,13.4,C
5/24/2022,15,12.8,C
5/24/2022,15,16.8,C
5/24/2022,15,13.2,C
5/25/2022,16,0.5,T
5/25/2022,16,0,T
5/25/2022,16,3,T
5/25/2022,16,0,T
5/25/2022,16,1,T
5/25/2022,16,0,T
5/25/2022,16,0,T
5/25/2022,16,0.8,T
5/25/2022,16,1.9,T
5/25/2022,16,0,T
5/25/2022,16,9.9,C
5/25/2022,16,10.4,C
5/25/2022,16,12.7,C
5/25/2022,16,11.3,C
5/25/2022,16,8.7,C
5/25/2022,16,12.6,C
5/25/2022,16,17.1,C
5/25/2022,16,11.8,C
5/25/2022,16,10.1,C
5/25/2022,16,8.9,C
5/26/2022,17,15.4,T
5/26/2022,17,12.3,T
5/26/2022,17,14.1,T
5/26/2022,17,20.6,T
5/26/2022,17,13.4,T
5/26/2022,17,15.4,T
5/26/2022,17,16.1,T
5/26/2022,17,18,T
5/26/2022,17,16.1,T
5/26/2022,17,13.4,T
5/26/2022,17,8.2,C
5/26/2022,17,7,C
5/26/2022,17,9.4,C
5/26/2022,17,1.1,C
5/26/2022,17,1,C
5/26/2022,17,11.2,C
5/26/2022,17,6.5,C
5/26/2022,17,11.3,C
5/26/2022,17,8.9,C
5/26/2022,17,3.8,C
5/27/2022,18,9.7,T
5/27/2022,18,7.7,T
5/27/2022,18,11.5,T
5/27/2022,18,12.7,T
5/27/2022,18,10.6,T
5/27/2022,18,10.6,T
5/27/2022,18,15.2,T
5/27/2022,18,14.8,T
5/27/2022,18,6.5,T
5/27/2022,18,19.1,T
5/27/2022,18,14.2,C
5/27/2022,18,19.4,C
5/27/2022,18,17.6,C
5/27/2022,18,16.9,C
5/27/2022,18,10.4,C
5/27/2022,18,20.6,C
5/27/2022,18,24.8,C
5/27/2022,18,16.5,C
5/27/2022,18,16.9,C
5/27/2022,18,18.7,C
5/28/2022,19,10.2,T
5/28/2022,19,7.8,T
5/28/2022,19,10.6,T
5/28/2022,19,9,T
5/28/2022,19,11.5,T
5/28/2022,19,12.7,T
5/28/2022,19,10.6,T
5/28/2022,19,6.8,T
5/28/2022,19,7,T
5/28/2022,19,5.5,T
5/28/2022,19,10.6,C
5/28/2022,19,11.2,C
5/28/2022,19,11.8,C
5/28/2022,19,14.6,C
5/28/2022,19,17.2,C
5/28/2022,19,15,C
5/28/2022,19,12.2,C
5/28/2022,19,13.5,C
5/28/2022,19,13,C
5/28/2022,19,16,C
5/29/2022,20,8.5,T
5/29/2022,20,2.5,T
5/29/2022,20,9.4,T
5/29/2022,20,5.4,T
5/29/2022,20,3.2,T
5/29/2022,20,3.6,T
5/29/2022,20,6.5,T
5/29/2022,20,2.4,T
5/29/2022,20,4.9,T
5/29/2022,20,4.9,T
5/29/2022,20,6,C
5/29/2022,20,7.4,C
5/29/2022,20,13.4,C
5/29/2022,20,13.2,C
5/29/2022,20,4.8,C
5/29/2022,20,7,C
5/29/2022,20,10.1,C
5/29/2022,20,6.6,C
5/29/2022,20,4.6,C
5/29/2022,20,6.5,C
5/30/2022,21,5.5,T
5/30/2022,21,6,T
5/30/2022,21,2.2,T
5/30/2022,21,2.5,T
5/30/2022,21,3.5,T
5/30/2022,21,4.1,T
5/30/2022,21,4,T
5/30/2022,21,5.5,T
5/30/2022,21,3.9,T
5/30/2022,21,3,T
5/30/2022,21,18.5,C
5/30/2022,21,14,C
5/30/2022,21,17.6,C
5/30/2022,21,19.1,C
5/30/2022,21,20,C
5/30/2022,21,20.2,C
5/30/2022,21,16.8,C
5/30/2022,21,16.2,C
5/30/2022,21,15,C
5/30/2022,21,15.3,C
5/31/2022,22,3.7,T
5/31/2022,22,2.2,T
