ID,region,pop,pc1,n,totMeanDryWeight,totMeanStemHeight,totMeanStemWidth,totMeanRWC,totMeanBoltJulian,totMeanFlowerJulian,totMeanTotCap,totMeanEstSeed,n_C,meanDryWeight_C,meanStemHeight_C,meanStemWidth_C,meanRWC_C,meanBoltJulian_C,meanFlowerJulian_C,meanTotCap_C,meanEstSeed_C,n_T,meanDryWeight_T,meanStemHeight_T,meanStemWidth_T,meanRWC_T,meanBoltJulian_T,meanFlowerJulian_T,meanTotCap_T,meanEstSeed_T,deltaDryWeight,deltaStemHeight,deltaStemWidth,deltaRWC,deltaBolt,deltaFlower,deltaTotCap,deltaEstSeed
1,EU,FR2,-1.632805986,8,23.4,42.62,3.894,88.46173977,131,160.6,17.4,395.5,5,25.266,47.9,4.24,87.77427285,131.5,159.75,17.75,446.375,3,20.29,21.5,2.51,89.60751797,129,164,16,192,0.80305549,0.448851775,0.591981132,1.020885905,0.980988593,1.026604069,0.901408451,0.430131616
2,EU,FR3,-1.632805986,6,22.3,65.6,3.933333333,92.0181264,139.6666667,172,19.66666667,94.66666667,3,22.68333333,94.7,4.54,83.06799883,145,NA,21,0,3,21.91666667,51.05,3.63,100.968254,137,172,19,142,0.966201323,0.53907075,0.799559471,1.215489182,0.944827586,NA,0.904761905,NA
3,EU,GER4,-2.434491549,11,21.56363636,28.2,4.315,88.90968418,155,177,5.5,0,5,22.138,56.8,5.14,87.01411332,153,NA,9,NA,6,21.085,18.66666667,4.04,90.48932657,156,177,4.333333333,0,0.952434728,0.328638498,0.785992218,1.039938501,1.019607843,NA,0.481481481,NA
4,EU,LUX1,-1.721640374,6,23.01833333,48.35,4.125,78.83590876,132.5,166.5,29,474.25,2,26.5,48.35,4.125,69.04239766,132.5,166.5,29,474.25,4,21.2775,NA,NA,83.73266431,NA,NA,NA,NA,0.802924528,NA,NA,1.212771676,NA,NA,NA,NA
5,EU,NOR1,-3.224529786,3,19.48666667,NA,NA,91.40985423,NA,NA,NA,NA,1,19.39,NA,NA,87.64044944,NA,NA,NA,NA,2,19.535,NA,NA,93.29455663,NA,NA,NA,NA,1.007478081,NA,NA,1.064514813,NA,NA,NA,NA
6,EU,NOR2,-3.234658892,16,20.84266667,NA,NA,91.93370498,NA,NA,NA,NA,7,21.35714286,NA,NA,90.29332153,NA,NA,NA,NA,9,20.3925,NA,NA,93.3690405,NA,NA,NA,NA,0.954832776,NA,NA,1.034063638,NA,NA,NA,NA
7,EU,NOR5,-3.336593887,15,20.39333333,NA,NA,92.28077079,NA,NA,NA,NA,7,21.01428571,NA,NA,93.08442337,NA,NA,NA,NA,8,19.85,NA,NA,91.57757479,NA,NA,NA,NA,0.944595513,NA,NA,0.983812022,NA,NA,NA,NA
8,EU,NOR8,-3.602537116,5,22.666,23.1,5.72,91.3324867,151,NA,1,NA,2,26.775,23.1,5.72,90.61657154,151,NA,1,NA,3,19.92666667,NA,NA,91.80976348,NA,NA,NA,NA,0.74422658,NA,NA,1.013167481,NA,NA,NA,NA
9,EU,SP2,2.178756034,16,21.50875,41.5375,3.738125,91.2405894,138.6,168.3076923,11.25,171,7,22.86,51.11428571,3.871428571,91.89929827,141.4285714,167.4,10.85714286,141.2,9,20.45777778,34.08888889,3.634444444,90.72826029,136.125,168.875,11.55555556,189.625,0.894915913,0.666915098,0.938786388,0.987257378,0.9625,1.008811231,1.064327485,1.342953258
10,EU,SP4,0.434514309,15,21.36133333,34.86666667,3.152666667,90.53412202,135.7857143,161.2307692,11.06666667,197.7692308,6,23.51833333,44.11666667,3.433333333,89.71002234,135.3333333,159.8,14.83333333,315.9166667,9,19.92333333,28.7,2.965555556,91.08352181,136.125,162.125,8.555555556,96.5,0.847140529,0.65054779,0.863754045,1.015310435,1.005849754,1.014549437,0.576779026,0.305460301
